step,train_loss,epoch,val_loss,val_accuracy
49,0.6819433569908142,0,,
99,0.6631041765213013,0,,
149,0.6266550421714783,0,,
199,0.6357102990150452,0,,
249,0.5963925719261169,0,,
299,0.6090078353881836,0,,
349,0.6108959317207336,0,,
399,0.6238511204719543,0,,
449,0.5811044573783875,0,,
499,0.6134567856788635,0,,
549,0.6154665350914001,0,,
599,0.5692351460456848,0,,
649,0.5701338052749634,0,,
699,0.5946439504623413,0,,
749,0.5816342234611511,0,,
799,0.5407590270042419,0,,
849,0.6460408568382263,0,,
899,0.5766156911849976,0,,
949,0.5555782318115234,0,,
999,0.582943856716156,0,,
1049,0.5445385575294495,0,,
1099,0.5563629269599915,0,,
1149,0.6184983253479004,0,,
1199,0.5049734115600586,0,,
1249,0.5429351925849915,0,,
1299,0.5954668521881104,0,,
1349,0.5574731826782227,0,,
1399,0.5946308970451355,0,,
1449,0.5824134349822998,0,,
1499,0.5630991458892822,0,,
1549,0.5235627889633179,0,,
1599,0.5565335750579834,0,,
1649,0.47656378149986267,0,,
1699,0.602486789226532,0,,
1749,0.5588820576667786,0,,
1799,0.5484651327133179,0,,
1849,0.5358980894088745,0,,
1899,0.49705642461776733,0,,
1949,0.5899984240531921,0,,
1999,0.4666885435581207,0,,
2049,0.5826322436332703,0,,
2099,0.6016556024551392,0,,
2149,0.558091938495636,0,,
2199,0.5537898540496826,0,,
2249,0.5417538285255432,0,,
2299,0.5386111736297607,0,,
2349,0.5474374294281006,0,,
2399,0.5601011514663696,0,,
2449,0.5270022749900818,0,,
2499,0.5336592793464661,0,,
2549,0.5884289741516113,0,,
2599,0.5213746428489685,0,,
2649,0.5550674200057983,0,,
2699,0.4992683529853821,0,,
2749,0.5172833204269409,0,,
2799,0.5890289545059204,0,,
2849,0.5203402638435364,0,,
2899,0.5663041472434998,0,,
2949,0.5401826500892639,0,,
2999,0.5438465476036072,0,,
3049,0.5602976083755493,0,,
3099,0.5888654589653015,0,,
3149,0.5686035752296448,0,,
3199,0.5508659482002258,0,,
3249,0.5713614821434021,0,,
3299,0.4883827269077301,0,,
3349,0.5305259823799133,0,,
3399,0.5479326248168945,0,,
3449,0.5804570913314819,0,,
3499,0.5286704301834106,0,,
3549,0.6204453706741333,0,,
3599,0.5252153277397156,0,,
3649,0.5140175223350525,0,,
3699,0.4664529263973236,0,,
3749,0.5460792183876038,0,,
3799,0.5497705936431885,0,,
3849,0.5851964950561523,0,,
3899,0.4925483167171478,0,,
3949,0.5760713219642639,0,,
3999,0.499433696269989,0,,
4049,0.5983676910400391,0,,
4099,0.604089081287384,0,,
